Name,URL,Location,Twitter,Active,Both,Bounties,Hall of Fame
Antihack.me,antihack.me,Singapore,https://twitter.com/AntihackMe,Y,Both,Y,https://www.antihack.me/leaderboard
Bug Bounty HQ,bugbountyhq.com,USA,https://twitter.com/bugbountyhq,N,N/A,N/A,N/A
Bug Bounty Switzerland,bugbounty.ch,Switzerland,https://twitter.com/bugbounty_ch,Y,Both,Y,Y
Bug Hunt,bughunt.com.br,Brazil,,Y,Both,Y,
bugbounty.jp,bugbounty.jp,Japan,https://twitter.com/BugBounty_jp,Y,Both,Y,https://bugbounty.jp/users/ranking
bugbounty.sa,bugbounty.sa,Saudi Arabia,,N,N/A,N/A,N/A
BugBountyZone,bugbountyzone.com,France,https://twitter.com/bugbountyzone,N,N/A,N/A,N/A
Bugcrowd,bugcrowd.com,USA,https://twitter.com/bugcrowd,Y,Both,Y,https://bugcrowd.com/leaderboard
bugsbounty.io,bugsbounty.io,England,https://twitter.com/bugsbounty_com,N,N/A,N/A,N/A
Bugv,bugv.io,Nepal,https://twitter.com/bugvsecurity,Y,Public,Y,Y
Cesppa,cesppa.com,USA,https://twitter.com/cesppa,Y,Both,Y,N
Cobalt,cobalt.io,USA,https://twitter.com/cobalt_io,Y,Private,Y,https://app.cobalt.io/pentesters
Crowdswarm,crowdswarm.io,United Arab Emirates,https://www.crowdswarm.io/#,Y,Both,Y,N
Cyber Army Indonesia,cyberarmy.id,Indonesia,https://twitter.com/cyberarmyid,Y,Both,Y,https://www.cyberarmy.id/leaderboard
Detectify,detectify.com/crowdsource,Sweden,https://twitter.com/detectify,Y,Private,Y,N
Dvuln,dvuln.com,Australia,https://twitter.com/d_vuln,Y,Private,Y,N
Federacy,federacy.com,USA,https://twitter.com/federacyorg,Y,Private,N,N
Hackenproof,hackenproof.com,Ukraine,https://twitter.com/hacken_io,Y,Both,Y,https://hackenproof.com/leaderboard
HackerOne,hackerone.com,USA,https://twitter.com/hacker0x01,Y,Private,Y,https://hackerone.com/leaderboard
Hacktrophy,hacktrophy.com,Slovakia,https://twitter.com/hacktrophy,N,N/A,N/A,N/A
Huntr,huntr.dev,UK,https://twitter.com/huntrdev,Y,Both,Y,N
Intigriti,intigriti.com,Belgium,https://twitter.com/intigriti,Y,Both,Y,intigriti.com/leaderboard
Open Bug Bounty,openbugbounty.org,Bangladesh,https://twitter.com/openbugbounty,Y,Public,Y,https://www.openbugbounty.org//
PlugBounty,plugbounty.com,,https://twitter.com/plugbounty,N,N/A,N/A,N/A
Praetorian,praetorian.com/platform/bug-bounty,USA,https://twitter.com/praetorian_inc,N,N/A,N/A,N/A
Safehats,safehats.com,India,https://twitter.com/SafeHats,N,N/A,N/A,N/A
Safevuln,safevuln.com,Vietnam,NIL,Y,Public,Y,Y
ScanTitan,scantitan.com/crowdsourced-penetration-testing,Netherlands,https://www.twitter.com/scantitan,Y,Private,Y,
Secuna,secuna.io,Phillipines,https://twitter.com/SecunaSecurity,Y,Private,Y,N
SlowMist,slowmist.com,China,https://twitter.com/SlowMist_Team,Y,Public,Y,N
Swarmnetics,swarmnetics.com,Singapore,https://twitter.com/swarmnetics,Y,Private,Y,N
Synack,synack.com,USA,https://twitter.com/synack,Y,Private,Y,N
Testbirds,testbirds.com,Germany,https://twitter.com/Testbirds,Y,Private,N,N
Threatbar,threatbar.com,India,https://twitter.com/threatbar,N,Both,Y,N
v1bounty,v1bounty.com,Germany,https://twitter.com/v1bounty,Y,Public,Y,N
Vulbox,vulbox.com,China,,Y,Both,Y,https://www.vulbox.com/top/season
Vulnerability Lab,vulnerability-lab.com,Germany,https://twitter.com/vuln_lab,Y,Both,Y,N
Vulnscope,vulnscope.com,Chile,https://twitter.com/vulnscope,Y,Private,Y,N
White Hub,whitehub.net,Vietnam,https://twitter.com/CyStackSecurity,Y,Both,Y,https://whitehub.net/leaderboard
YesWeHack,yeswehack.com/en/index.html,France,https://twitter.com/yeswehack,Y,Both,Y,https://yeswehack.com/ranking
Yogosha,yogosha.com,France,https://twitter.com/yogoshaofficial,Y,Private,Y,N
Zero Day Initiative,zerodayinitiative.com,USA,https://twitter.com/thezdi,Y,Public,Y,
Zerocopter,zerocopter.com,Netherlands,https://twitter.com/zerocopter,Y,Private,Y,N
